frame,smoke,vibration,gyroscope,brake,result
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0
1,5,10,45.5,0,0
0,0,25,120.0,1,1
1,12,5,240.9,1,0
1,20,30,180.2,1,1
0,2,15,320.0,0,0
0,0.2,0.9,120,1,0
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,0.3,0.5,60,1,0
0,1.0,0.9,60,1,1
1,0.5,0.5,180,1,1
0,0.6,0.2,0,1,0
1,0.5,0.1,240,1,0
0,0.2,0.6,180,1,0
1,0.6,0.5,75,1,0
0,0.4,0.2,180,1,0
1,0.9,0.9,270,1,1
0,0.3,0.3,45,1,0
1,0.1,0.7,240,1,0
0,0.8,0.5,120,1,0
1,1.0,0.9,210,1,1
0,0.6,0.5,150,1,0
1,0.3,0.3,75,1,0
0,0.7,0.7,270,1,1
1,0.9,0.5,45,1,1
0,0.5,0.4,60,1,0
1,0.4,0.1,210,1,0
0,0.3,0.9,120,1,0
1,0.5,0.5,240,1,1
0,0.5,0.5,150,1,0
1,0.7,0.3,30,1,0
0,0.1,0.8,60,1,0
1,0.8,0.4,120,1,0
0,0.3,0.6,180,1,0
1,0.6,0.1,90,1,1
0,0.9,0.5,105,1,0
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
1,0.639602,1.264911,-0.816497,1,1
0,-0.963087,-0.316228,0.816497,1,0
1,-0.114172,0.316228,-0.612372,1,0
1,15,20,90.7,1,1
0,0,0,0.0,0,0
1,30,40,270.5,1,0
0,5,35,150.3,1,1
1,18,12,35.0,1,0
0,10,8,200.6,0,0
1,0,50,310.9,1,1
0,3,22,180.0,0,0
1,22,33,100.2,1,0
0,8,16,230.4,1,1
1,25,5,55.1,1,0
0,1,45,345.8,0,0
1,28,38,140.0,1,1
0,6,27,270.0,1,0
1,0.8,0.4,75,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
0,8,15,60.0,1,1
1,35,45,200.9,1,1
1,0.3,0.5,240,1,1
0,0.5,0.5,150,1,0
1,0.4,0.3,60,1,0
0,0.7,0.7,270,1,1
1,0.9,0.5,45,1,1
0,0.5,0.4,60,1,0
1,0.2,0.1,210,1,0
0,0.1,0.8,120,1,0
1,0.5,0.5,240,1,1
0,0.6,0.6,180,1,0
1,0.8,0.3,75,1,0
1,-0.856871,-0.632456,-1.224745,1,0
0,-1.456021,0.316228,0.408248,1,0
1,0.482581,-1.264911,0.204124,1,1
0,0.5,0.5,150,1,0
1,0.4,0.2,45,1,0
0,0.6,0.3,270,1,0
1,0.9,0.7,105,1,1
0,0.7,0.5,90,1,0
1,0.3,0.1,15,1,0
0,0.5,0.8,150,1,0
1,0.6,0.3,180,1,0
0,0.4,0.6,225,1,1
1,0.9,0.2,105,1,0
0,0.3,0.5,75,1,0
1,0.7,0.9,120,1,1
0,0.8,0.1,45,1,0
1,0.5,0.5,270,1,0
0,0.6,0.3,90,1,0
1,0.1,0.8,30,1,0
0,0.4,0.4,60,1,0
1,0.9,0.5,180,1,1
0,0.5,0.5,150,1,0
1,0.8,0.2,45,1,0
0,0.6,0.6,30,1,0
1,0.7,0.1,210,1,0
0,1.480839,-1.264911,1.020620,1,1
1,-1.202040,0.632456,-1.428571,1,0
0,0.235194,0.948683,0.000000,1,0
1,1.999045,0.316228,0.816497,1,1
0,-1.609105,0.000000,0.408248,1,0
1,35,42,90.3,1,1
1,10,20,180.0,0,1
0,5,15,90.5,1,0
1,2,8,270.8,1,1
1,15,25,45.3,1,0
0,0,5,120.2,0,1
1,30,40,320.7,1,1
0,8,12,210.1,1,0
1,18,30,135.6,0,1
1,5,5,315.9,1,0
0,12,18,60.0,1,1
1,25,35,240.4,1,1
0,3,10,160.3,0,0
1,22,28,290.6,1,0
0,6,15,30.0,1,1
1,35,45,200.9,0,0
0,8,22,250.2,1,0
1,0.5,0.5,30,1,0
0,0.4,0.2,135,1,0
1,0.3,0.3,60,1,0
0,0.8,0.8,225,1,1
1,0.9,0.5,60,1,1
0,0.5,0.4,120,1,0
1,0.7,0.3,0,1,0
0,0.3,0.9,30,1,0
1,0.5,0.5,240,1,0
0,0.2,0.6,180,1,0
1,0.091173,-0.316228,-0.408248,1,0
1,-1.056058,0.316228,1.428571,1,1
0,-0.399129,1.264911,-1.020620,1,0
0,12,18,260.2,1,1
1,20,10,75.5,1,1
0,1,30,15.1,0,0
1,28,38,195.0,1,1
0,6,25,240.7,1,1
1,15,5,120.4,1,1
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
1,-0.242107,-0.316228,1.020620,1,0
0,0.091173,0.000000,-0.204124,1,0
1,1.323775,-1.264911,0.816497,1,1
0,0.828625,0.316228,0.408248,1,0
1,-0.399129,-0.948683,-0.408248,1,0
0,0.3,0.5,150,1,0
1,0.4,0.1,45,1,0
0,0.7,0.9,270,1,1
1,0.9,0.5,105,1,1
0,0.5,0.5,90,1,0
1,0.7,0.3,15,1,0
0,0.3,0.7,150,1,0
1,0.5,0.4,180,1,0
0,0.6,0.6,225,1,1
1,0.9,0.1,105,1,0
0,0.2,0.5,90,1,0
1,0.8,0.8,30,1,1
0,0.5,0.2,240,1,0
1,0.3,0.3,180,1,0
0,0.6,0.6,75,1,0
0,15,25,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
1,22,28,285.6,1,1
1,20,10,75.5,1,1
0,1,30,10.1,0,0
1,28,38,195.0,1,0
0,4,20,340.7,1,1
1,15,5,120.4,1,0
1,0,0,0.0,0,0
0,20,15,45.5,1,0
1,5,10,90.0,1,0
1,0,20,180.0,1,1
0,10,5,135.0,0,0
1,30,25,270.0,1,1
0,15,20,315.0,1,1
1,0,0,0.0,0,0
1,5,15,45.5,1,0
0,0,10,90.0,1,0
1,20,20,180.0,1,1
0,10,5,135.0,0,0
1,25,30,270.0,1,1
0,15,20,315.0,1,1
1,0,0,0.0,0,0
1,10,15,45.5,1,0
0,0,10,90.0,1,0
1,20,20,180.0,1,1
0,15,5,135.0,0,0
1,30,30,270.0,1,1
0,25,20,315.0,1,1
1,0,0,0.0,0,0
1,15,10,45.5,1,0
0,0,5,90.0,1,0
1,10,20,180.0,1,1
0,5,5,135.0,0,0
1,20,30,270.0,1,1
0,25,20,315.0,1,1
1,0,0,0.0,0,0
1,10,15,45.5,1,0
0,5,10,90.0,1,0
1,20,20,180.0,1,1
0,10,5,135.0,0,0
1,25,30,270.0,1,1
0,20,20,315.0,1,1
1,12,8,205.5,1,1
0,3,5,90.0,0,0
1,18,25,270.0,1,1
1,5,15,180.0,1,1
0,0,0,0.0,0,0
1,25,35,310.7,1,1
0,10,12,120.1,0,0
1,20,30,225.6,1,1
1,5,0,330.9,1,1
0,15,20,45.0,1,1
1,30,40,240.4,1,1
0,5,10,150.3,0,0
